t,chi_hhi_star,lambda2,total_weight,load_cv
400.0,3.1441195301232374e-06,0.7871895177126244,153.20047769591724,0.0007839172692588307
402.0,3.3230748688891875e-06,0.7863132469455241,153.17885768497356,0.0008561307500279944
404.0,3.525740705480651e-06,0.78532649870891,153.15451526176366,0.000939975788543891
406.0,3.7572156633167496e-06,0.784207161942965,153.12689538534286,0.0010381945587564123
408.0,4.024171879824961e-06,0.7829268597550395,153.09528099500818,0.0011544031448980766
410.0,4.335507826627927e-06,0.7814485830975887,153.05872960216692,0.0012934511716787688
412.0,4.703351317248576e-06,0.7797231758504629,153.0159778969795,0.0014619671149037916
414.0,5.144649662234863e-06,0.7776839710060574,152.9652940936112,0.0016692073277988079
416.0,5.683783059666886e-06,0.775238349175232,152.90424184995794,0.0019284180594973308
418.0,6.357042354275815e-06,0.7722539729989331,152.82928848131291,0.0022590960580669804
420.0,7.220684220711494e-06,0.7685353917828398,152.73512609338297,0.0026908899428461875
422.0,8.366281988063536e-06,0.7637822977967722,152.6134343420508,0.0032706440438765873
424.0,9.952075890971373e-06,0.7575106106742484,152.45048677226785,0.0040758023901731714
426.0,1.2272637583483836e-05,0.7488926009395669,152.2221769442142,0.005241535928461083
428.0,1.5930805377689098e-05,0.7364053137149144,151.88275101672173,0.007019744445255408
430.0,2.2322546303421345e-05,0.7169848136296393,151.3364596571616,0.009918404644987435
432.0,3.526222979047247e-05,0.6838641446978874,150.35669154117494,0.015059811345119939
434.0,6.780227188517448e-05,0.6216676346222598,148.3219001915243,0.025140819159540816
436.0,0.00017943439977859862,0.5031323938556412,143.30488030229836,0.04631023319975695
438.0,0.0006978957627843817,0.3176994436697969,130.512568457819,0.08055697653281065
440.0,0.0027673426540235947,0.12200989086975302,110.57685160944354,0.0842153484450192
442.0,0.00814417441446531,0.03101103190471269,95.77939536830424,0.08728668556606278
444.0,0.022534983913783398,0.006480856068088423,88.37764485919931,0.12206661183840252
446.0,0.044537484758893256,0.0010150513393567412,86.57116655058111,0.17308628409083313
448.0,0.09221548263628615,5.823514003603028e-05,86.78790572896096,0.24864924303639804
450.0,0.18932312777534058,2.1807010676681835e-06,87.99032289999114,0.26593267168890855
452.0,0.3231096722968181,1.1939696917771068e-07,93.21526457815366,0.27455070103727547
454.0,0.4578142733786771,6.2703855833003465e-09,105.41985007658019,0.2751399533576952
456.0,0.5759664104567976,2.5749817722334364e-10,117.64591461702892,0.24704860497770512
458.0,0.6591298633917014,1.2461831226737841e-11,120.86440384407189,0.31499904516247784
460.0,0.7174494619220729,7.392455446900732e-13,117.3068393961459,0.4182766384995645
462.0,0.7447026923272886,5.083512052236807e-14,107.79801620088077,0.5520532667190946
464.0,0.7563458037773949,3.733576578957579e-15,96.64132805294808,0.6999168678678617
466.0,0.7648942706879529,4.83688526670237e-16,84.58088180663587,0.8444162560578042
468.0,0.7753051127530137,5.095446478067939e-17,75.68894960352179,0.9725252685859543
470.0,0.7835584994384664,-3.6442112224359294e-17,71.76699983332797,1.0476877931833284
472.0,0.786089190978559,-1.2175946629075783e-16,69.12070842595935,1.0880425762829913
474.0,0.7900696398810801,-1.8213816386099904e-16,67.8997452633534,1.1100363962432123
476.0,0.7880995101331907,-3.2985573812779245e-16,65.12513914723019,1.1526440651477527
478.0,0.7850326989129932,-3.802049026544712e-16,64.08443353049404,1.1786933352864057
480.0,0.7780836257909677,-3.3402098233193976e-16,62.95200365752996,1.192655739880122
482.0,0.7463503716681461,-4.367145289358406e-16,62.33366046458629,1.2068103458833257
484.0,0.6844736723960773,-4.10568570877457e-16,62.00541555671806,1.2101428051278136
486.0,0.6067587412208837,-3.997922592651712e-16,62.06733619597586,1.2098709138304258
488.0,0.5084204137523582,-3.464377694016203e-16,62.280467482955274,1.2090136768739488
490.0,0.4163913063597766,-5.00704592830111e-16,62.31454421055019,1.208969110833424
492.0,0.33936923157871324,-3.999693826197913e-16,61.257526579156135,1.2195703532805375
494.0,0.2897436438593294,-4.994767521418064e-16,60.49427406698334,1.2344028990083777
496.0,0.2693701999288215,-3.367911239536217e-16,60.38939864577074,1.2364720983318642
