protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.74,64,104,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed104_etaabs_1em04,600.0,0.07913306451587157,0.8620774975150844,520.0,True,493.5,False,True,503.5,False
absolute,1.74,64,104,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed104_etaabs_3em04,600.0,0.17439516128980764,0.7552518348262529,194.5,True,168.5,False,True,176.0,False
absolute,1.74,64,104,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed104_etaabs_1em03,600.0,0.07913306451587157,0.904741992035468,71.5,True,53.5,False,True,59.0,False
absolute,1.74,64,104,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed104_etaabs_3em03,600.0,0.2220262096767757,0.6994372254896686,50.5,True,19.0,False,True,22.0,False
absolute,1.74,64,105,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed105_etaabs_1em04,600.0,0.12676411290283962,0.8135565465648562,506.0,True,476.0,False,True,484.0,False
absolute,1.74,64,105,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed105_etaabs_3em04,600.0,0.17439516128980764,0.8110959174850428,188.5,True,163.5,False,True,168.5,False
absolute,1.74,64,105,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed105_etaabs_1em03,600.0,0.17439516128980764,0.8109787121124785,70.0,True,52.0,False,True,56.0,False
absolute,1.74,64,105,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed105_etaabs_3em03,600.0,0.22202620967677572,0.762031005222825,36.5,True,18.5,False,True,22.0,False
absolute,1.74,128,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed101_etaabs_1em04,600.0,0.25192212301517075,0.7006718196215204,357.5,True,325.0,False,True,331.0,False
absolute,1.74,128,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed101_etaabs_3em04,600.0,0.2519221230151707,0.7389273533367788,140.0,True,113.0,False,True,118.0,False
absolute,1.74,128,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed101_etaabs_1em03,600.0,0.21648685515812363,0.7479510077373663,63.0,True,36.5,False,True,40.0,False
absolute,1.74,128,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed101_etaabs_3em03,600.0,0.18105158730107657,0.8089340663396349,41.5,True,14.5,False,True,16.5,False
absolute,1.74,128,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed102_etaabs_1em04,600.0,0.1574280753963785,0.8120398760932779,351.5,True,322.0,False,True,329.0,False
absolute,1.74,128,102,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed102_etaabs_3em04,600.0,0.22829861111047267,0.7634459825715838,141.5,True,113.5,False,True,118.5,False
absolute,1.74,128,102,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed102_etaabs_1em03,600.0,0.25192212301517075,0.748266972147535,49.0,True,37.5,False,True,40.0,False
absolute,1.74,128,102,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed102_etaabs_3em03,600.0,0.2046750992057746,0.7910752884992598,24.0,True,14.5,False,True,16.5,False
absolute,1.74,128,103,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed103_etaabs_1em04,600.0,0.22829861111047264,0.7041858777842904,326.5,True,299.0,False,True,307.0,False
absolute,1.74,128,103,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed103_etaabs_3em04,600.0,0.1574280753963785,0.7928652877277587,131.0,True,105.5,False,True,111.5,False
absolute,1.74,128,103,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed103_etaabs_1em03,600.0,0.1574280753963785,0.8345931380357079,60.5,True,35.5,False,True,38.5,False
absolute,1.74,128,103,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed103_etaabs_3em03,600.0,0.22829861111047267,0.7569636670229596,28.0,True,14.0,False,True,16.5,False
absolute,1.74,128,104,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed104_etaabs_1em04,600.0,0.20467509920577462,0.7688544991876445,357.0,True,326.5,False,True,332.5,False
absolute,1.74,128,104,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed104_etaabs_3em04,600.0,0.1574280753963785,0.7921981165297831,144.5,True,114.5,False,True,118.5,False
absolute,1.74,128,104,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed104_etaabs_1em03,600.0,0.20467509920577462,0.7882526130683207,55.5,True,37.5,False,True,40.0,False
absolute,1.74,128,104,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed104_etaabs_3em03,600.0,0.15742807539637851,0.8427326379805178,38.0,True,14.5,False,True,16.5,False
absolute,1.74,128,105,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed105_etaabs_1em04,600.0,0.13380456349168043,0.857779882931661,360.0,True,331.0,False,True,335.5,False
absolute,1.74,128,105,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed105_etaabs_3em04,600.0,0.1574280753963785,0.7717014035361554,139.5,True,114.5,False,True,118.0,False
absolute,1.74,128,105,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed105_etaabs_1em03,600.0,0.20467509920577465,0.7680355276768044,54.5,True,37.5,False,True,40.5,False
absolute,1.74,128,105,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed105_etaabs_3em03,600.0,0.18105158730107657,0.81106935402545,38.5,True,14.5,False,True,17.0,False
absolute,1.74,256,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed101_etaabs_1em04,600.0,0.24312561515681258,0.7376200366029819,255.0,True,223.0,False,True,227.5,False
absolute,1.74,256,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed101_etaabs_3em04,600.0,0.23136072834582078,0.7643668943902555,105.0,True,78.5,False,True,81.0,False
absolute,1.74,256,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed101_etaabs_1em03,600.0,0.19018362450734938,0.8012411883201488,53.0,True,26.5,False,True,28.5,False
absolute,1.74,256,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed101_etaabs_3em03,600.0,0.20194851131834124,0.760006130648317,37.0,True,12.0,False,True,14.0,False
absolute,1.74,256,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed102_etaabs_1em04,600.0,0.21959584153482894,0.7556862868819243,254.0,True,233.5,False,True,237.5,False
absolute,1.74,256,102,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed102_etaabs_3em04,600.0,0.23136072834582078,0.7437398533876115,108.0,True,81.5,False,True,84.5,False
absolute,1.74,256,102,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed102_etaabs_1em03,600.0,0.1960660679128453,0.7909270570863599,53.5,True,27.0,False,True,29.0,False
absolute,1.74,256,102,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed102_etaabs_3em03,600.0,0.1960660679128453,0.8028656053474701,34.0,True,12.5,False,True,14.5,False
absolute,1.74,256,103,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed103_etaabs_1em04,600.0,0.17253629429086165,0.8165031587519214,259.0,True,228.5,False,True,232.5,False
absolute,1.74,256,103,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed103_etaabs_3em04,600.0,0.21959584153482892,0.7717427712576708,98.5,True,80.5,False,True,83.5,False
absolute,1.74,256,103,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed103_etaabs_1em03,600.0,0.1960660679128453,0.8002539095665162,51.5,True,27.0,False,True,29.5,False
absolute,1.74,256,103,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed103_etaabs_3em03,600.0,0.20194851131834118,0.7639779179549635,40.5,True,12.5,False,True,15.0,False
absolute,1.74,256,104,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed104_etaabs_1em04,600.0,0.21959584153482894,0.7557001666594141,246.0,True,224.5,False,True,228.5,False
absolute,1.74,256,104,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed104_etaabs_3em04,600.0,0.17253629429086165,0.8185105962818627,107.0,True,79.0,False,True,82.0,False
absolute,1.74,256,104,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed104_etaabs_1em03,600.0,0.2431256151568126,0.7301071362433049,54.5,True,27.0,False,True,29.0,False
absolute,1.74,256,104,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed104_etaabs_3em03,600.0,0.21371339812933304,0.7918660863866968,33.5,True,12.5,False,True,15.0,False
absolute,1.74,256,105,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed105_etaabs_1em04,600.0,0.17253629429086165,0.8231934235317717,257.0,True,229.0,False,True,233.0,False
absolute,1.74,256,105,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed105_etaabs_3em04,600.0,0.18430118110185348,0.7895216876828912,108.0,True,80.0,False,True,83.0,False
absolute,1.74,256,105,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed105_etaabs_1em03,600.0,0.2078309547238371,0.7769460199365306,49.0,True,26.5,False,True,29.0,False
