protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem
relative,1.74,64,101,0.05,etarel_c0p05,0.0005873015873015873,relative_a1p74_N64_seed101_etarel_c0p05
relative,1.74,64,101,0.1,etarel_c0p10,0.0011746031746031746,relative_a1p74_N64_seed101_etarel_c0p10
relative,1.74,64,101,0.2,etarel_c0p20,0.002349206349206349,relative_a1p74_N64_seed101_etarel_c0p20
relative,1.74,64,101,0.5,etarel_c0p50,0.005873015873015873,relative_a1p74_N64_seed101_etarel_c0p50
relative,1.74,64,101,1.0,etarel_c1p00,0.011746031746031746,relative_a1p74_N64_seed101_etarel_c1p00
relative,1.74,64,102,0.05,etarel_c0p05,0.0005873015873015873,relative_a1p74_N64_seed102_etarel_c0p05
relative,1.74,64,102,0.1,etarel_c0p10,0.0011746031746031746,relative_a1p74_N64_seed102_etarel_c0p10
relative,1.74,64,102,0.2,etarel_c0p20,0.002349206349206349,relative_a1p74_N64_seed102_etarel_c0p20
relative,1.74,64,102,0.5,etarel_c0p50,0.005873015873015873,relative_a1p74_N64_seed102_etarel_c0p50
relative,1.74,64,102,1.0,etarel_c1p00,0.011746031746031746,relative_a1p74_N64_seed102_etarel_c1p00
relative,1.74,64,103,0.05,etarel_c0p05,0.0005873015873015873,relative_a1p74_N64_seed103_etarel_c0p05
relative,1.74,64,103,0.1,etarel_c0p10,0.0011746031746031746,relative_a1p74_N64_seed103_etarel_c0p10
relative,1.74,64,103,0.2,etarel_c0p20,0.002349206349206349,relative_a1p74_N64_seed103_etarel_c0p20
relative,1.74,64,103,0.5,etarel_c0p50,0.005873015873015873,relative_a1p74_N64_seed103_etarel_c0p50
relative,1.74,64,103,1.0,etarel_c1p00,0.011746031746031746,relative_a1p74_N64_seed103_etarel_c1p00
relative,1.74,64,104,0.05,etarel_c0p05,0.0005873015873015873,relative_a1p74_N64_seed104_etarel_c0p05
relative,1.74,64,104,0.1,etarel_c0p10,0.0011746031746031746,relative_a1p74_N64_seed104_etarel_c0p10
relative,1.74,64,104,0.2,etarel_c0p20,0.002349206349206349,relative_a1p74_N64_seed104_etarel_c0p20
relative,1.74,64,104,0.5,etarel_c0p50,0.005873015873015873,relative_a1p74_N64_seed104_etarel_c0p50
relative,1.74,64,104,1.0,etarel_c1p00,0.011746031746031746,relative_a1p74_N64_seed104_etarel_c1p00
relative,1.74,64,105,0.05,etarel_c0p05,0.0005873015873015873,relative_a1p74_N64_seed105_etarel_c0p05
relative,1.74,64,105,0.1,etarel_c0p10,0.0011746031746031746,relative_a1p74_N64_seed105_etarel_c0p10
relative,1.74,64,105,0.2,etarel_c0p20,0.002349206349206349,relative_a1p74_N64_seed105_etarel_c0p20
relative,1.74,64,105,0.5,etarel_c0p50,0.005873015873015873,relative_a1p74_N64_seed105_etarel_c0p50
relative,1.74,64,105,1.0,etarel_c1p00,0.011746031746031746,relative_a1p74_N64_seed105_etarel_c1p00
relative,1.74,128,101,0.05,etarel_c0p05,0.00029133858267716534,relative_a1p74_N128_seed101_etarel_c0p05
relative,1.74,128,101,0.1,etarel_c0p10,0.0005826771653543307,relative_a1p74_N128_seed101_etarel_c0p10
relative,1.74,128,101,0.2,etarel_c0p20,0.0011653543307086614,relative_a1p74_N128_seed101_etarel_c0p20
relative,1.74,128,101,0.5,etarel_c0p50,0.0029133858267716534,relative_a1p74_N128_seed101_etarel_c0p50
relative,1.74,128,101,1.0,etarel_c1p00,0.005826771653543307,relative_a1p74_N128_seed101_etarel_c1p00
